fips,population,county,state,old_rate,rate,typology
22087,35897,St. Bernard Parish,Louisiana,21.9154804,0.219154804,African American South
22089,52780,St. Charles Parish,Louisiana,-0.437665782,-0.004376658,Exurbs
22091,11203,St. Helena Parish,Louisiana,-2.526109078,-0.025261091,African American South
22093,22102,St. James Parish,Louisiana,-8.641751878,-0.086417519,African American South
22095,45924,St. John the Baptist Parish,Louisiana,-7.505879279,-0.075058793,African American South
22097,83384,St. Landry Parish,Louisiana,-1.012184592,-0.010121846,African American South
22099,52160,St. Martin Parish,Louisiana,-0.75345092,-0.007534509,Working Class Country
22101,54650,St. Mary Parish,Louisiana,-9.595608417,-0.095956084,African American South
22103,233740,St. Tammany Parish,Louisiana,13.18986909,0.131898691,Urban Burbs
22105,121097,Tangipahoa Parish,Louisiana,9.958958521,0.099589585,African American South
22107,5252,Tensas Parish,Louisiana,-21.03960396,-0.21039604,African American South
22109,111860,Terrebonne Parish,Louisiana,-2.038262113,-0.020382621,Working Class Country
22111,22721,Union Parish,Louisiana,-7.103560583,-0.071035606,Working Class Country
22113,57999,Vermilion Parish,Louisiana,-1.103467301,-0.011034673,Working Class Country
22115,52334,Vernon Parish,Louisiana,-6.848320404,-0.068483204,Military Posts
22117,47168,Washington Parish,Louisiana,-3.614738806,-0.036147388,African American South
22119,41207,Webster Parish,Louisiana,-10.28951392,-0.102895139,African American South
22121,23788,West Baton Rouge Parish,Louisiana,14.3391626,0.143391626,Exurbs
22123,11604,West Carroll Parish,Louisiana,-15.96863151,-0.159686315,Evangelical Hubs
22125,15625,West Feliciana Parish,Louisiana,-2.016,-0.02016,African American South
